Object Number,Is Highlight,Is Public Domain,Object ID,Department,Object Name,Title,Culture,Period,Dynasty,Reign,Portfolio,Artist Role,Artist Prefix,Artist Display Name,Artist Display Bio,Artist Suffix,Artist Alpha Sort,Artist Nationality,Artist Begin Date,Artist End Date,Object Date,Object Begin Date,Object End Date,Medium,Dimensions,Credit Line,Geography Type,City,State,County,Country,Region,Subregion,Locale,Locus,Excavation,River,Classification,Rights and Reproduction,Link Resource,Metadata Date,Repository
50.583.4,TRUE,TRUE,337062,Drawings and Prints,Print,"Self-Portrait, from The Iconography",,,,,The Iconography,Artist,,Anthony van Dyck,"Flemish, Antwerp 1599–1641 London",,"Dyck, Anthony van",Flemish,1599,1641,ca. 1630,1620,1650,Etching; first state of seven,9 1/2 x 6 1/8in. (24.1 x 15.6cm),"Bequest of Mary Stillman Harkness, 1950",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/337062,6/25/18 8:00,"Metropolitan Museum of Art, New York, NY"
29.107.28,TRUE,TRUE,337063,Drawings and Prints,Print,Reclining Female Nude,,,,,,Artist,,Rembrandt (Rembrandt van Rijn),"Dutch, Leiden 1606–1669 Amsterdam",,Rembrandt (Rembrandt van Rijn),Dutch,1606,1669,1658,1658,1658,"Etching, drypoint, and engraving on japan paper; second of six states","Plate: 3 3/16 × 6 1/4 in. (8.1 × 15.9 cm)
Sheet: 3 3/4 x 6 3/4 in. (9.5 x 17.1 cm)","H. O. Havemeyer Collection, Bequest of Mrs. H. O. Havemeyer, 1929",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/337063,6/25/18 8:00,"Metropolitan Museum of Art, New York, NY"
16.2.2,TRUE,TRUE,337064,Drawings and Prints,Print,Woman Bathing (La Toilette),,,,,,Artist,,Mary Cassatt,"American, Pittsburgh, Pennsylvania 1844–1926 Le Mesnil-Théribus, Oise",,"Cassatt, Mary",American,1844,1926,1890–91,1890,1891,"Drypoint and aquatint, printed in color from three plates; fourth state of four (Mathews & Shapiro)","plate: 14 5/16 x 10 9/16 in. (36.4 x 26.8 cm) 
sheet: 17 x 11 3/4in. (43.2 x 29.8cm)","Gift of Paul J. Sachs, 1916",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/337064,6/25/18 8:00,"Metropolitan Museum of Art, New York, NY"
1976.652.3–4,TRUE,TRUE,337070,Drawings and Prints,Cut paper,"Frank Johnson, Leader of the Brass Band of the 128th Regiment in Saratoga, with his wife, Helen",,,,,,Artist,,Auguste Edouart,"French, 1789–1861",,"Edouart, Auguste",French,1789,1861,1842–44,1842,1844,Cut paper silhouettes mounted on board,Sheet: 11 5/16 × 9 5/16 in. (28.8 × 23.6 cm),"Gift of Philip S. P. and Elisabeth W. Fell, 1976",,,,,,,,,,,,Cut Paper|Ephemera,,http://www.metmuseum.org/art/collection/search/337070,6/25/18 8:00,"Metropolitan Museum of Art, New York, NY"
23.163.4a,TRUE,TRUE,337071,Drawings and Prints,Wallpaper Ornament & Architecture,Pink and Rose,,,,,,Designer|Manufacturer|Printer,,William Morris|Morris & Company|Jeffrey & Co.,"British, Walthamstow, London 1834–1896 Hammersmith, London|London",,"Morris, William|Morris & Company|Jeffrey & Co.",British|British,1834      |1850      ,1896      |1950      ,designed ca. 1890,1885,1895,Block-printed wallpaper,Sheet: 27 x 21 1/2 in. (68.6 x 54.6 cm),"Purchase, Edward C. Moore Jr. Gift, 1923",,,,,,,,,,,,Wallpaper|Ornament & Architecture|Prints,,http://www.metmuseum.org/art/collection/search/337071,6/25/18 8:00,"Metropolitan Museum of Art, New York, NY"
1997.153,TRUE,TRUE,337075,Drawings and Prints,Drawing,Lucretia,,,,,,Artist,,Raphael (Raffaello Sanzio or Santi),"Italian, Urbino 1483–1520 Rome",,Raphael (Raffaello Sanzio or Santi),Italian,1483,1520,1508–10,1508,1510,"Pen and brown ink over black chalk, partially incised with a stylus (recto); rubbed with black chalk for transfer (verso)",15-5/8 x 11-1/2 in.  (39.7 x 29.2 cm),"Purchase, Lila Acheson Wallace Gift, 1997",,,,,,,,,,,,Drawings,,http://www.metmuseum.org/art/collection/search/337075,6/25/18 8:00,"Metropolitan Museum of Art, New York, NY"
49.38,TRUE,TRUE,337088,Drawings and Prints,Drawing,Portrait of an Ecclesiastic,,,,,,Artist,,Jean Fouquet,"French, Tours ca. 1425–ca. 1478 Tours",,"Fouquet, Jean",French,1425,1478,ca. 1461,1456,1466,"Metalpoint, black chalk on white prepared paper",7 13/16 x 5 5/16 in.  (19.8 x 13.5 cm.),"Purchase, Rogers Fund and Gift of Mrs. Benjamin Knower, Bequest of Ogden Mills, and Bequest of Collis P. Huntington, by exchange, 1949",,,,,,,,,,,,Drawings,,http://www.metmuseum.org/art/collection/search/337088,6/25/18 8:00,"Metropolitan Museum of Art, New York, NY"
1995.101,TRUE,TRUE,337105,Drawings and Prints,Drawing,A Gathering at Wood's Edge,,,,,,Artist,,Jean Honoré Fragonard,"French, Grasse 1732–1806 Paris",,"Fragonard, Jean Honoré",French,1732,1806,ca. 1770–73,1765,1775,Red chalk,14 3/4 x 19 3/8 in.  (37.5 x 49.2 cm),"Purchase, Lila Acheson Wallace Gift, 1995",,,,,,,,,,,,Drawings,,http://www.metmuseum.org/art/collection/search/337105,6/25/18 8:00,"Metropolitan Museum of Art, New York, NY"
1996.418,TRUE,TRUE,337172,Drawings and Prints,Drawing,Tahitian Faces (Frontal View and Profiles),,,,,,Artist,,Paul Gauguin,"French, Paris 1848–1903 Atuona, Hiva Oa, Marquesas Islands",,"Gauguin, Paul",French,1848,1903,ca. 1899,1894,1904,Charcoal on laid paper,Sheet: 16 1/8 x 12 1/4 in. (41 x 31.1 cm),"Purchase, The Annenberg Foundation Gift, 1996",,,,,,,,,,,,Drawings,,http://www.metmuseum.org/art/collection/search/337172,6/25/18 8:00,"Metropolitan Museum of Art, New York, NY"
1995.12,TRUE,TRUE,337487,Drawings and Prints,Drawing,"Otto, Count of Nassau and his Wife Adelheid van Vianen",,,,,,Artist,,Bernard van Orley,"Netherlandish, Brussels ca. 1492–1541/42 Brussels",,"Orley, Bernard van",Netherlandish,1492,1542,1530–35,1530,1535,"Pen and brown ink, watercolor over traces of black chalk; verso: tracing in black chalk of the figures on the recto",14 x 19 in.  (35.6 x 48.3 cm),"Purchase, Lila Acheson Wallace Gift, 1995",,,,,,,,,,,,Drawings,,http://www.metmuseum.org/art/collection/search/337487,6/25/18 8:00,"Metropolitan Museum of Art, New York, NY"
1995.15,TRUE,TRUE,337489,Drawings and Prints,Drawing,View of Heidelberg,,,,,,Artist,,Jan Brueghel the Elder,"Netherlandish, Brussels 1568–1625 Antwerp",,"Brueghel, Jan, the Elder",Netherlandish,1568,1625,ca. 1588–89,1583,1594,"Pen and brown ink, brush and blue and brown washes, heightened with white; framing lines in pen and brown ink",7 7/8 x 12 in.  (20.0 x 30.5 cm),"Purchase, David T. Schiff Gift and Harris Brisbane Dick Fund, 1995",,,,,,,,,,,,Drawings,,http://www.metmuseum.org/art/collection/search/337489,6/25/18 8:00,"Metropolitan Museum of Art, New York, NY"
1997.93,TRUE,TRUE,337490,Drawings and Prints,Drawing,Diana and Actaeon,,,,,,Artist,,Bartholomeus Spranger,"Netherlandish, Antwerp 1546–1611 Prague",,"Spranger, Bartholomeus",Netherlandish,1546,1611,ca. 1580–1585,1580,1585,"Pen and brown ink, brush and brown and gray wash, white heightening, over traces of black chalk, on paper washed blue and pink",16 1/4 x 12 5/8in. (41.3 x 32.1cm),"Purchase, Lila Acheson Wallace Gift, 1997",,,,,,,,,,,,Drawings,,http://www.metmuseum.org/art/collection/search/337490,6/25/18 8:00,"Metropolitan Museum of Art, New York, NY"
29.100.939,TRUE,TRUE,337491,Drawings and Prints,Drawing,Cottage among Trees,,,,,,Artist,,Rembrandt (Rembrandt van Rijn),"Dutch, Leiden 1606–1669 Amsterdam",,Rembrandt (Rembrandt van Rijn),Dutch,1606,1669,ca. 1650,1645,1655,"Pen and brown ink, brush and brown wash, on paper washed with brown",6 3/4 x 10 7/8 in.  (17.1 x 27.6 cm); vertical strip 6 3/4 x 1 1/4 in. (17.2 x 3.2 cm) added by artist to the sheet at right.,"H. O. Havemeyer Collection, Bequest of Mrs. H. O. Havemeyer, 1929",,,,,,,,,,,,Drawings,,http://www.metmuseum.org/art/collection/search/337491,6/25/18 8:00,"Metropolitan Museum of Art, New York, NY"
1995.196,TRUE,TRUE,337493,Drawings and Prints,Drawing,Dune Landscape with Oak Tree,,,,,,Artist,,Jacob van Ruisdael,"Dutch, Haarlem 1628/29–1682 Amsterdam",,"Ruisdael, Jacob van",Dutch,1628,1682,1650–55,1650,1655,Black chalk; brush and gray wash; gouache; framing lines in pen and brown ink.,8 1/4 x 7 1/2 in.  (21.0 x 19.1 cm),"Fletcher Fund, 1995",,,,,,,,,,,,Drawings,,http://www.metmuseum.org/art/collection/search/337493,6/25/18 8:00,"Metropolitan Museum of Art, New York, NY"
17.142.1,TRUE,TRUE,337494,Drawings and Prints,Drawing,"Compositional Sketches for the Virgin Adoring the Christ Child, with and without the Infant St. John the Baptist; Diagram of a Perspectival Projection (recto); Slight Doodles (verso)",,,,,,Artist,,Leonardo da Vinci,"Italian, Vinci 1452–1519 Amboise",,Leonardo da Vinci,Italian,1452,1519,1480–85,1480,1485,"Silverpoint, partly reworked by the artist with pen and dark brown ink on pink prepared paper; lines ruled with metalpoint (recto); pen and brown ink (verso)
",7 5/8 x 6 3/8 in. (19.3 x 16.2 cm),"Rogers Fund, 1917",,,,,,,,,,,,Drawings,,http://www.metmuseum.org/art/collection/search/337494,6/25/18 8:00,"Metropolitan Museum of Art, New York, NY"
51.9,TRUE,TRUE,337496,Drawings and Prints,Drawing,The Head of the Virgin in Three-Quarter View Facing Right,,,,,,Artist,,Leonardo da Vinci,"Italian, Vinci 1452–1519 Amboise",,Leonardo da Vinci,Italian,1452,1519,1510–1513,1510,1513,"Black chalk, charcoal, and red chalk, with some traces of white chalk (?); some remains of framing outline in pen and brown ink at upper right (not by Leonardo)",Sheet: 8 x 6 1/8 in. (20.3 x 15.6 cm),"Harris Brisbane Dick Fund, 1951",,,,,,,,,,,,Drawings,,http://www.metmuseum.org/art/collection/search/337496,6/25/18 8:00,"Metropolitan Museum of Art, New York, NY"
24.197.2,TRUE,TRUE,337497,Drawings and Prints,Drawing,Studies for the Libyan Sibyl (recto); Studies for the Libyan Sibyl and a small Sketch for a Seated Figure (verso),,,,,,Artist,,Michelangelo Buonarroti,"Italian, Caprese 1475–1564 Rome",,Michelangelo Buonarroti,Italian,1475,1564,ca. 1510–11,1511,1511,"Red chalk, with small accents of white chalk on the left shoulder of the figure in the main study (recto); soft black chalk, or less probably charcoal (verso)",Sheet: 11 3/8 x 8 7/16 in. (28.9 x 21.4 cm),"Purchase, Joseph Pulitzer Bequest, 1924",,,,,,,,,,,,Drawings,,http://www.metmuseum.org/art/collection/search/337497,6/25/18 8:00,"Metropolitan Museum of Art, New York, NY"
1971.63.1,TRUE,TRUE,337498,Drawings and Prints,Drawing,Scalinata della Trinità dei Monti,,,,,,Artist,,Giovanni Paolo Panini,"Italian, Piacenza 1691–1765 Rome",,"Panini, Giovanni Paolo",Italian,1691,1765,ca. 1756–58,1740,1770,"Pen and black ink, brush and gray wash, watercolor, over graphite",13-11/16 x 11-9/16 in.  (34.8 x 29.3 cm),"Rogers Fund, 1971",,,,,,,,,,,,Drawings,,http://www.metmuseum.org/art/collection/search/337498,6/25/18 8:00,"Metropolitan Museum of Art, New York, NY"
59.12,TRUE,TRUE,337499,Drawings and Prints,Drawing,The Lake of Zug,,,,,,Artist,,Joseph Mallord William Turner,"British, London 1775–1851 London",,"Turner, Joseph Mallord William",British,1775,1851,1843,1843,1843,Watercolor over graphite,11 3/4 x 18 3/8 in.  (29.8 x 46.6 cm),"Marquand Fund, 1959",,,,,,,,,,,,Drawings,,http://www.metmuseum.org/art/collection/search/337499,6/25/18 8:00,"Metropolitan Museum of Art, New York, NY"
08.162.1,TRUE,TRUE,337500,Drawings and Prints,Drawing,Lady Lilith,,,,,,Artist|Artist,,Dante Gabriel Rossetti|Henry Treffry Dunn,"British, London 1828–1882 Birchington-on-Sea|British, Truro 1838–1899 London",,"Rossetti, Dante Gabriel|Dunn, Henry Treffry",British|British,1828      |1838      ,1882      |1899      ,1867,1867,1867,Watercolor and gouache,20 3/16 X 17 5/16 in. (51.3 x 44 cm),"Rogers Fund, 1908",,,,,,,,,,,,Drawings,,http://www.metmuseum.org/art/collection/search/337500,6/25/18 8:00,"Metropolitan Museum of Art, New York, NY"
1997.117.10,TRUE,TRUE,337632,Drawings and Prints,Drawing,Reading the News at the Weavers' Cottage,,,,,,Artist,,Adriaen van Ostade,"Dutch, Haarlem 1610–1685 Haarlem",,"Ostade, Adriaen van",Dutch,1610,1685,1673,1673,1673,"Pen and brown ink, watercolor, white heightening, traces of graphite; framing lines by the artist (?) in brown ink and gold.",9 5/8 x 7 15/16 in.  (24.4 x 20.2 cm),"Bequest of Lore Heinemann, in memory of her husband, Dr. Rudolf J. Heinemann, 1996",,,,,,,,,,,,Drawings,,http://www.metmuseum.org/art/collection/search/337632,6/25/18 8:00,"Metropolitan Museum of Art, New York, NY"
39.68.27,TRUE,TRUE,337699,Drawings and Prints,Print,Summer Morning,,,,,,Artist|Artist,After,David Lucas|John Constable,"British, Northamptonshire 1802–1881 London|British, East Bergholt 1776–1837 Hampstead",,"Lucas, David|Constable, John",British|British,1802      |1776      ,1881      |1837      ,ca. 1830,1825,1835,"Mezzotint; between states a and b, proof before letters","plate: 6 7/8 x 9 15/16 in. (17.5 x 25.2 cm)
sheet: 12 x 17 7/16 in. (30.5 x 44.3 cm)","Harris Brisbane Dick Fund, 1939",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/337699,6/25/18 8:00,"Metropolitan Museum of Art, New York, NY"
17.3.159,TRUE,TRUE,337702,Drawings and Prints,Print,Nocturne (Nocturne: The Thames at Battersea),,,,,,Artist,,James McNeill Whistler,"American, Lowell, Massachusetts 1834–1903 London",,"Whistler, James McNeill",American,1834,1903,1878,1878,1878,"Lithotint with scraping, on a prepared half-tint ground, second state of two (Chicago), printed in soft gray-black ink on pale blue laid chine mounted on ivory wove plate paper","Image: 6 3/4 × 10 3/16 in. (17.1 × 25.9 cm)
Sheet: 13 1/2 × 19 5/16 in. (34.3 × 49 cm)","Harris Brisbane Dick Fund, 1917",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/337702,6/25/18 8:00,"Metropolitan Museum of Art, New York, NY"
37.45.3(27),TRUE,TRUE,337725,Drawings and Prints,Print,"The Round Tower, from 'Carceri d'invenzione' (Imaginary Prisons)",,,,,,Artist|Publisher,,Giovanni Battista Piranesi|Giovanni Bouchard,"Italian, Mogliano Veneto 1720–1778 Rome|French, ca. 1716–1795",,"Piranesi, Giovanni Battista|Bouchard, Giovanni",Italian|Italian,1720      |1700      ,1778      |1795      ,ca. 1749–50,1744,1755,"Etching, engraving, sulphur tint or open bite, burnishing; first state of four (Robison)","Sheet: 24 13/16 x 19 1/2 in. (63 x 49.5 cm)
Plate: 21 7/16 x 16 5/16 in. (54.5 x 41.5 cm)","Harris Brisbane Dick Fund, 1937",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/337725,6/25/18 8:00,"Metropolitan Museum of Art, New York, NY"
1999.222,TRUE,TRUE,337844,Drawings and Prints,Drawing,Portrait of Nicolas Trigault in Chinese Costume,,,,,,Artist,,Peter Paul Rubens,"Flemish, Siegen 1577–1640 Antwerp",,"Rubens, Peter Paul",Flemish,1577,1640,1617,1617,1617,"Black, red, and white chalk, blue pastel, and pen and brown and black ink on light brown laid paper",17 9/16 x 9 3/4 in. (44.6 x 24.8 cm),"Purchase, Carl Selden Trust, several members of The Chairman's Council, Gail and Parker Gilbert, and Lila Acheson Wallace Gifts, 1999",,,,,,,,,,,,Drawings,,http://www.metmuseum.org/art/collection/search/337844,6/25/18 8:00,"Metropolitan Museum of Art, New York, NY"
"1996.364a, b",TRUE,TRUE,337894,Drawings and Prints,Drawing,Three Standing Figures (recto); Seated Woman and a Male Hermit in Half-length (verso),,,,,,Artist,,Stefano da Verona (Stefano di Giovanni d'Arbosio di Francia),"Italian, Paris or Pavia ca. 1374/75–after 1438 Verona",,"Verona, Stefano da",Italian,1374,1438,1435–38,1435,1438,"Pen and brown ink, over traces of charcoal or black chalk (recto); pen and brown ink, brush with touches of brown wash, over traces of charcoal or black chalk (verso)",11 13/16 x 8 13/16in. (30 x 22.4cm),"Harris Brisbane Dick Fund, 1996",,,,,,,,,,,,Drawings,,http://www.metmuseum.org/art/collection/search/337894,6/25/18 8:00,"Metropolitan Museum of Art, New York, NY"
61.101.16,TRUE,TRUE,339751,Drawings and Prints,Drawing,Aman-Jean (Portrait of Edmond François Aman-Jean),,,,,,Artist,,Georges Seurat,"French, Paris 1859–1891 Paris",,"Seurat, Georges",French,1859,1891,1882–83,1882,1883,Conté crayon on Michallet paper,24 1/2 × 18 11/16 in. (62.2 × 47.5 cm),"Bequest of Stephen C. Clark, 1960",,,,,,,,,,,,Drawings,,http://www.metmuseum.org/art/collection/search/339751,6/25/18 8:00,"Metropolitan Museum of Art, New York, NY"
41.1.31,TRUE,TRUE,354631,Drawings and Prints,Print,Christ Crucified between the Two Thieves: The Three Crosses,,,,,,Artist,,Rembrandt (Rembrandt van Rijn),"Dutch, Leiden 1606–1669 Amsterdam",,Rembrandt (Rembrandt van Rijn),Dutch,1606,1669,1653,1653,1653,Drypoint printed on vellum,"Plate: 15 x 17 1/4 in. (38.1 x 43.8 cm)
Sheet: 15 1/8 x 17 7/16 in. (38.4 x 44.3 cm)
Mount: 22 x 28 in. (55.9 x 71.1 cm)","Gift of Felix M. Warburg and his family, 1941",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/354631,6/25/18 8:00,"Metropolitan Museum of Art, New York, NY"
17.3.90,TRUE,TRUE,365017,Drawings and Prints,Print,The Doorway,,,,,"First Venice Set (""Venice: Twelve Etchings,"" 1880)",Artist,,James McNeill Whistler,"American, Lowell, Massachusetts 1834–1903 London",,"Whistler, James McNeill",American,1834,1903,1879–80,1879,1880,"Etching, drypoint and roulette; fourteenth state of twenty (Glasgow);  printed in brownish-black ink on ivory laid paper","Plate: 11 1/2 x 7 7/8 in. (29.2 x 20 cm)
Sheet: 11 1/2 × 7 7/8 in. (29.2 × 20 cm)
Frame: 21 x 16 in. (53.3 cm)","Harris Brisbane Dick Fund, 1917",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/365017,6/25/18 8:00,"Metropolitan Museum of Art, New York, NY"
2011.36,TRUE,TRUE,395485,Drawings and Prints,Drawing,Jupiter and Juno: Study for the 'Furti di Giove' Tapestries,,,,,,Artist,,Perino del Vaga (Pietro Buonaccorsi),"Italian, Florence 1501–1547 Rome",,Perino del Vaga (Pietro Buonaccorsi),Italian,1501,1547,ca. 1532–35,1526,1540,"Pen and dark brown ink with brown and gray wash, highlighted with white gouache",Sheet: 17 x 15 3/4 in. (43.2 x 40 cm),"Purchase, Acquisitions Fund and Annette and Oscar de la Renta Gift, 2011",,,,,,,,,,,,Drawings,,http://www.metmuseum.org/art/collection/search/395485,6/25/18 8:00,"Metropolitan Museum of Art, New York, NY"
1983.451,TRUE,TRUE,435600,European Paintings,Painting,Saint John on Patmos,,,,,,Artist,,Hans Baldung (called Hans Baldung Grien),"German, Schwäbisch Gmünd (?) 1484/85–1545 Strasbourg (Strassburg)",,"Baldung, Hans (called Hans Baldung Grien)",German,1484,1545,ca. 1511,1506,1516,"Oil, gold, and white metal on spruce",Overall 35 1/4 x 30 1/4 in. (89.5 x 76.8 cm); painted surface 34 3/8 x 29 3/4 in. (87.3 x 75.6 cm),"Purchase, Rogers and Fletcher Funds; The Vincent Astor Foundation, The Dillon Fund, The Charles Engelhard Foundation, Lawrence A. Fleischman, Mrs. Henry J. Heinz II, The Willard T. C. Johnson Foundation Inc., Reliance Group Holdings Inc., Baron H. H. Thyssen-Bornemisza, and Mr. and Mrs. Charles Wrightsman Gifts; Joseph Pulitzer Bequest; special funds; and other gifts and bequests, by exchange, 1983                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ",,,,,,,,,,,,Paintings,"
",http://www.metmuseum.org/art/collection/search/435600,6/25/18 8:00,"Metropolitan Museum of Art, New York, NY"
89.21.1,TRUE,TRUE,435621,European Paintings,Painting,Joan of Arc,,,,,,Artist,,Jules Bastien-Lepage,"French, Damvillers 1848–1884 Paris",,"Bastien-Lepage, Jules",French,1848,1884,1879,1879,1879,Oil on canvas,100 x 110 in. (254 x 279.4 cm),"Gift of Erwin Davis, 1889",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/435621,6/25/18 8:00,"Metropolitan Museum of Art, New York, NY"
08.183.1,TRUE,TRUE,435641,European Paintings,Painting,Madonna and Child,,,,,,Artist,,Giovanni Bellini,"Italian, Venice, active by 1459–died 1516 Venice",,"Bellini, Giovanni",Italian,1459,1516,late 1480s,1487,1489,Oil on wood,35 x 28 in. (88.9 x 71.1 cm),"Rogers Fund, 1908",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/435641,6/25/18 8:00,"Metropolitan Museum of Art, New York, NY"
26.9,TRUE,TRUE,435683,European Paintings,Painting,Island of the Dead,,,,,,Artist,,Arnold Böcklin,"Swiss, Basel 1827–1901 San Domenico, Italy",,"Böcklin, Arnold",Swiss,1827,1901,1880,1880,1880,Oil on wood,29 x 48 in. (73.7 x 121.9 cm),"Reisinger Fund, 1926",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/435683,6/25/18 8:00,"Metropolitan Museum of Art, New York, NY"
87.25,TRUE,TRUE,435702,European Paintings,Painting,The Horse Fair,,,,,,Artist,,Rosa Bonheur,"French, Bordeaux 1822–1899 Thomery",,"Bonheur, Rosa",French,1822,1899,1852–55,1852,1855,Oil on canvas,96 1/4 x 199 1/2 in. (244.5 x 506.7 cm),"Gift of Cornelius Vanderbilt, 1887",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/435702,6/25/18 8:00,"Metropolitan Museum of Art, New York, NY"
14.40.642,TRUE,TRUE,435728,European Paintings,Painting,The Last Communion of Saint Jerome,,,,,,Artist,,Botticelli (Alessandro di Mariano Filipepi),"Italian, Florence 1444/45–1510 Florence",,Botticelli (Alessandro di Mariano Filipepi),Italian,1444,1510,early 1490s,1490,1493,Tempera and gold on wood,13 1/2 x 10 in. (34.3 x 25.4 cm),"Bequest of Benjamin Altman, 1913",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/435728,6/25/18 8:00,"Metropolitan Museum of Art, New York, NY"
20.155.9,TRUE,TRUE,435739,European Paintings,"Painting, overdoor",The Toilette of Venus,,,,,,Artist,,François Boucher,"French, Paris 1703–1770 Paris",,"Boucher, François",French,1703,1770,1751,1751,1751,Oil on canvas,42 5/8 x 33 1/2 in. (108.3 x 85.1 cm),"Bequest of William K. Vanderbilt, 1920",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/435739,6/25/18 8:00,"Metropolitan Museum of Art, New York, NY"
29.100.16,TRUE,TRUE,435802,European Paintings,Painting,Portrait of a Young Man,,,,,,Artist,,Bronzino (Agnolo di Cosimo di Mariano),"Italian, Monticelli 1503–1572 Florence",,Bronzino (Agnolo di Cosimo di Mariano),Italian,1503,1572,1530s,1530,1539,Oil on wood,37 5/8 x 29 1/2 in. (95.6 x 74.9 cm),"H. O. Havemeyer Collection, Bequest of Mrs. H. O. Havemeyer, 1929",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/435802,6/25/18 8:00,"Metropolitan Museum of Art, New York, NY"
19.164,TRUE,TRUE,435809,European Paintings,Painting,The Harvesters,,,,,,Artist,,Pieter Bruegel the Elder,"Netherlandish, Breda (?) ca. 1525–1569 Brussels",,"Bruegel, Pieter, the Elder",Netherlandish,1525,1569,1565,1565,1565,Oil on wood,"Overall, including added strips at top, bottom, and right, 46 7/8 x 63 3/4 in. (119 x 162 cm); original painted surface 45 7/8 x 62 7/8 in. (116.5 x 159.5 cm)","Rogers Fund, 1919",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/435809,6/25/18 8:00,"Metropolitan Museum of Art, New York, NY"
56.228,TRUE,TRUE,435817,European Paintings,Painting,The Crucifixion with the Virgin and Saint John,,,,,,Artist,,Hendrick ter Brugghen,"Dutch, The Hague? 1588–1629 Utrecht",,"Brugghen, Hendrick ter",Dutch,1588,1629,ca. 1624–25,1624,1625,Oil on canvas,61 x 40 1/4 in. (154.9 x 102.2 cm),"Funds from various donors, 1956",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/435817,6/25/18 8:00,"Metropolitan Museum of Art, New York, NY"
47.26,TRUE,TRUE,435826,European Paintings,Painting,The Love Song,,,,,,Artist,,Sir Edward Burne-Jones,"British, Birmingham 1833–1898 Fulham",,"Burne-Jones, Edward, Sir",British,1833,1898,1868–77,1868,1877,Oil on canvas,45 x 61 3/8 in. (114.3 x 155.9 cm),"The Alfred N. Punnett Endowment Fund, 1947",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/435826,6/25/18 8:00,"Metropolitan Museum of Art, New York, NY"
1988.162,TRUE,TRUE,435839,European Paintings,Painting,Piazza San Marco,,,,,,Artist,,Canaletto (Giovanni Antonio Canal),"Italian, Venice 1697–1768 Venice",,Canaletto (Giovanni Antonio Canal),Italian,1697,1768,late 1720s,1727,1729,Oil on canvas,27 x 44 1/4 in. (68.6 x 112.4 cm),"Purchase, Mrs. Charles Wrightsman Gift, 1988",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/435839,6/25/18 8:00,"Metropolitan Museum of Art, New York, NY"
52.81,TRUE,TRUE,435844,European Paintings,Painting,The Musicians,,,,,,Artist,,Caravaggio (Michelangelo Merisi),"Italian, Milan or Caravaggio 1571–1610 Porto Ercole",,Caravaggio (Michelangelo Merisi),Italian,1571,1610,1597,1597,1597,Oil on canvas,36 1/4 x 46 5/8 in. (92.1 x 118.4 cm),"Rogers Fund, 1952",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/435844,6/25/18 8:00,"Metropolitan Museum of Art, New York, NY"
11.118,TRUE,TRUE,435851,European Paintings,Painting,The Meditation on the Passion,,,,,,Artist,,Vittore Carpaccio,"Italian, Venice 1460/66?–1525/26 Venice",,"Carpaccio, Vittore",Italian,1460,1526,ca. 1490,1485,1495,Oil and tempera on wood,Overall 27 3/4 x 34 1/8in. (70.5 x 86.7cm); painted surface 26 3/16 × 33 1/4 in. (66.5 × 84.5 cm),"John Stewart Kennedy Fund, 1911",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/435851,6/25/18 8:00,"Metropolitan Museum of Art, New York, NY"
1971.155,TRUE,TRUE,435853,European Paintings,Painting,The Coronation of the Virgin,,,,,,Artist,,Annibale Carracci,"Italian, Bologna 1560–1609 Rome",,"Carracci, Annibale",Italian,1560,1609,after 1595,1595,1609,Oil on canvas,46 3/8 x 55 5/8 in. (117.8 x 141.3 cm),"Purchase, Bequest of Miss Adelaide Milton de Groot (1876–1967), by exchange, and Dr. and Mrs. Manuel Porter and sons Gift, in honor of Mrs. Sarah Porter, 1971",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/435853,6/25/18 8:00,"Metropolitan Museum of Art, New York, NY"
